"Date","Price","Open","High","Low","Vol.","Change %"
"17-07-2025","99.6990","99.9300","99.9300","99.6820","","-0.23%"
"16-07-2025","99.9260","99.7485","100.6830","99.4985","","0.17%"
"15-07-2025","99.7575","100.3555","100.4535","99.6800","","-0.57%"
"14-07-2025","100.3340","100.0505","100.6135","99.9860","","0.10%"
"13-07-2025","100.2380","100.2380","100.2380","100.2380","","-0.09%"
"11-07-2025","100.3295","100.3345","100.5415","100.0055","","0.00%"
"10-07-2025","100.3300","100.3915","100.7045","99.9790","","-0.10%"
"09-07-2025","100.4255","100.5575","100.6425","100.2135","","-0.13%"
"08-07-2025","100.5535","100.4210","100.8300","100.1965","","0.14%"
"07-07-2025","100.4125","100.7020","101.0320","100.2630","","-0.29%"
"04-07-2025","100.7060","100.4430","100.7845","100.4090","","0.27%"
"03-07-2025","100.4390","101.0245","101.1275","100.0450","","-0.58%"
"02-07-2025","101.0245","101.0990","101.1360","100.6155","","-0.07%"
"01-07-2025","101.0990","101.0145","101.1990","100.6575","","0.08%"
"30-06-2025","101.0190","100.1065","101.0415","100.0405","","0.86%"
"27-06-2025","100.1530","100.1645","100.4880","99.9045","","-0.05%"
"26-06-2025","100.2035","100.3140","100.6595","100.0525","","-0.11%"
"25-06-2025","100.3180","99.7760","100.4045","99.6205","","0.54%"
"24-06-2025","99.7760","100.2335","100.5150","99.6645","","-0.46%"
"23-06-2025","100.2335","99.3980","100.2770","99.1775","","0.47%"
"20-06-2025","99.7615","99.8230","100.0750","99.5695","","-0.06%"
"19-06-2025","99.8230","99.2520","99.8710","98.9695","","0.60%"
"18-06-2025","99.2305","99.0965","99.6615","99.0150","","0.14%"
"17-06-2025","99.0965","99.2975","99.9165","99.0450","","-0.16%"
"16-06-2025","99.2545","99.2830","99.7710","99.1900","","-0.22%"
"13-06-2025","99.4770","99.1195","99.6230","98.7345","","0.33%"
"12-06-2025","99.1450","98.2190","99.5565","98.1550","","0.98%"
"11-06-2025","98.1810","97.8110","98.2830","97.4855","","0.40%"
"10-06-2025","97.7940","97.8435","97.9615","97.4110","","-0.06%"
"09-06-2025","97.8520","97.7910","98.0290","97.5805","","0.10%"
"06-06-2025","97.7525","98.2335","98.3855","97.5200","","-0.49%"
"05-06-2025","98.2380","98.0475","98.5995","97.7770","","0.19%"
"04-06-2025","98.0475","97.4635","98.2015","97.4260","","0.60%"
"03-06-2025","97.4590","97.6525","97.7780","97.3745","","-0.21%"
"02-06-2025","97.6610","97.0105","97.7385","96.9850","","0.63%"
"30-05-2025","97.0530","97.0825","97.2635","96.7530","","-0.09%"
"29-05-2025","97.1380","96.4830","97.2490","95.7485","","0.71%"
"28-05-2025","96.4575","96.6655","96.9845","96.3680","","-0.22%"
"27-05-2025","96.6695","96.8975","97.2430","96.6140","","-0.24%"
"26-05-2025","96.8975","96.8335","97.2890","96.6720","","0.07%"
"23-05-2025","96.8290","97.0060","97.3610","96.4515","","-0.18%"
"22-05-2025","97.0060","97.0015","97.4405","96.7865","","0.01%"
"21-05-2025","96.9935","96.5150","97.2670","96.4885","","0.50%"
"20-05-2025","96.5150","95.9615","96.5450","95.8125","","0.53%"
"19-05-2025","96.0080","95.5080","96.4565","95.4995","","0.59%"
"16-05-2025","95.4475","95.7125","96.0905","95.1660","","-0.28%"
"15-05-2025","95.7170","95.4460","96.1335","95.3945","","0.30%"
"14-05-2025","95.4290","95.3795","96.0745","95.0635","","0.05%"
"13-05-2025","95.3835","94.1030","95.4645","93.9870","","1.35%"
